Nama Pengguna,Rating,Waktu,Komentar
Don T. Beacunt,5.0,2 bulan lalu,"Stadion Stadion Gelora Bandung Lautan Api adalah kandang resmi Persib Bandung dan dikelola oleh PT Persib Bandung Bermartabat. Dengan kapasitas sekitar 38.000 penonton, stadion ini menghadirkan atmosfer sepak bola yang kuat, terutama saat pertandingan besar Persib berlangsung. Desain yang modern, tribun tinggi, dan sudut pandang lapangan yang luas membuat pengalaman menonton terasa megah sekaligus emosional.  Dari segi fasilitas, stadion ini sudah dilengkapi lintasan atletik, ruang ganti pemain yang memadai, area media, hingga lahan parkir yang cukup besar. Tantangan utama tetap pada akses menuju stadion, terutama di hari pertandingan karena kemacetan dan opsi transportasi umum yang masih terbatas. Meski begitu, GBLA tetap menjadi simbol perkembangan infrastruktur olahraga di Bandung sekaligus ikon sepak bola Jawa Barat, dengan peluang besar untuk terus ditingkatkan menuju standar internasional."
Nurliani Inviati,5.0,5 bulan lalu,Kesini di tgl 23okt 2025 persib vs selangor 2-0🙌🏻💙 Seruu bagi 1st dtg ke stadion buat nntn di tribun vibe nya bener2 beda dripda di rmh kebetulan beli tiket pas promo dan worth it cmn memang gabisa bawa makanan dri luar aja dan hujan sampe akhir pertandingan tapi selebihnya mantap👍🏻  Note:buat cewe yg pertama kali pas masuk beda barisan yah lenih di ujung
Imas Meilani,5.0,5 bulan lalu,"Kalau malem suasananya banyak lampu jalan yang nyala, jadi ga terlalu gelap. Suka kesini pas weekend buat olahraga, ada pasar weekend gitu banyak jajanan dan sarapan yang enak enakkk.. untuk stadionnya bagus"
AvhezzKT,4.0,3 bulan lalu,"Pertama kali ke GBLA,cuma ada beberapa minus dari GBLA ini : 1.AIR di KLOSET BERDIRI cuma hitungan,kebanyakan tidak ada air! Jadi menyebabkan BAU PESING 🤢 2.KURSI VIP BULUK 🗿 3.ROKOK/VAPE banyak yg MEROKOK/VAPE di dalam STADION!"
Tia Rosdianti (TR),5.0,4 bulan lalu,"Pertama kali nyetadion , pengalaman yg seru, atmosfernya ber beda bikin takjub, pantesan pemain persib kalau maen dikandang semangatnya full banget , Jadi ketagihan sih nyetadion"
Arie,5.0,3 bulan lalu,"Kebetulan lewat sini sebelum ke Masjid Raya Al-Jabbar, meskipun saya bukan fans Persib, tapi sebuah kebanggaan bagi tersendiri bagi saya bisa berkunjung ke-Homebase mereka, meskipun hanya bisa dilihat dari area luar. Menurut pandangan saya, perlu ada perawatan di Area dekat Gerbang Merah (dan mungkin juga ke Gerbang lainnya) supaya tidak terlihat kumuh dan rindang dengan rumput, karna sayang sekali jika Homebase kebanggan terlihat sangat kumuh di sisi luarnya."
dwi Agung,5.0,3 bulan lalu,11 Januari 2026  Persib 1-0 Persija membawa persib menjadi juara paruh musim BRI Super League 2025/2026
ISNANSYAH AFIF Bachtiar,4.0,4 bulan lalu,"GBLA Adalah stadion yang menjadi home base persib, dan dikelola langsung oleh PT PBB, Dengan kapasitas sekitar 38.000 penonton, GBLA menghadirkan atmosfer sepak bola yang kuat, terutama saat laga besar Persib. Desain stadion yang modern, tribun yang tinggi, serta pandangan lapangan yang luas membuat pengalaman menonton terasa megah dan emosional. Dari sisi fasilitas, GBLA sudah dilengkapi dengan lintasan atletik, ruang ganti pemain yang memadai, area media, serta parkiran yang cukup luas. Namun, akses menuju stadion masih menjadi catatan, terutama saat hari pertandingan karena kemacetan dan transportasi umum yang terbatas. Meski begitu, GBLA tetap menjadi simbol kebangkitan infrastruktur olahraga Bandung dan ikon sepak bola Jawa Barat, dengan potensi besar untuk terus dikembangkan menjadi stadion berstandar internasional."
Rival Firdaus,4.0,2 bulan lalu,"Fasilitas sanitasi jelek tidak layak dipakai,mushola berbau apek sajadahnya saja sudah seperti bertahun tahun tidak diganti  Untuk area tribun penonton baik dan terawat"
Nadya Febriyani,5.0,2 bulan lalu,"sampurasun aa teteh , dari jakarta dukung persib jauh2 kesini hehe bukan penyusup emg demen sama persib ey 🤍😃"
Nurmala Shabira,5.0,3 bulan lalu,27 des 2025 Pertama kali ketemu hts setelah 3 bulan chattingan lgsg ngajak nonton persib hihi first experience buat aku😋
Arul Ramadhan,5.0,7 bulan lalu,"Stadion yg cukup megah, dekat stasiun cimekar. Banyak tukang dagang depan stadion, perketat lg keamanan saat masuk korek dll disita masih banyak yg merokok dalam stadion. Rambu informasi toilet dll di perbanyak. Cuma disayangkan masih sistem penukaran tiket. Semoga kedepannya hanya scan barcode. Persib 1-1 Sailors. Nice Try sib"
Rama De Yupito,5.0,5 bulan lalu,aksesnya bagus karena ada whoosh tapi kalo match jam 7 malam kalo bisa jadwal whooshnya di tambah
Iyan Yan,5.0,5 bulan lalu,"Stadion yg sangat bagus tapi sayang di luar stadion nya tempat parkir mobil motor  nya gelap banget, kalau bisa tempat parkir nya di pasang lampu🙌💙"
Suzana Sumanto Wesley,5.0,9 bulan lalu,"Dari site survey, design, meeting dg manajemen Bandung Gelora Sawargi hingga menjadi amanah proyek renovasi salah 1 fasilitas Persib di Stadion GBLA merupakan kebanggaan tersendiri bagi kami sebagai 'bobotoh'nya.  Bismillah smg amanah dpt kami laksanakan dg sebaik2nya dg hasil terbaik dan turut menunjang kemenangan2 Persib berikutnya, aamiin yaa robbal'alaamiin🙏  Hidup Persib dan all Manajemen Persib👍💪"
Ahmad Saepuloh,5.0,6 bulan lalu,Khusus hari Minggu area GBLA dipakai pasar tumpah yg cukup ramai dikunjungi dari berbagai daerah. Tersedia aneka pakaian dan jajanan yg cukup banyak variannya.
Abu Azzam,5.0,2 bulan lalu,"Belum berkeliling, tapi so far so good..ingin ke sini lagi nanti kalo persib tanding"
agussetra channel,4.0,6 bulan lalu,"kalo hari minggu pagi banyak yg jualan di skitar stadion,,bnyk makanan enak ,,👍"
Muhammad Alif Fathullah,5.0,3 bulan lalu,"Momen menakjubkan ketika Persib menjamu PSM, 27 Desember 2025. What an atmosphere!"
Adrian Suntara,5.0,8 bulan lalu,"Semakin nyaman untuk menonton Persib, fasilitas mushola sudah semakin nyaman untuk tetap menjalankan ibadah sambil menonton pertandingan"
mfahreza stark,5.0,6 bulan lalu,"Stadion GBLA. mungkin lebih nyaman kalo ada plang informasi , Contoh: mau masuk ke Gate L, enaknya parkir di gerbang mana..gtu sih.. Soalnya kasian kalo harus muter.. bisi poho deuih parkir na dimana 🤣"
Aty Dewi Nofianty,5.0,4 bulan lalu,"Kawasan GBLA bisa untuk olahraga pagi,, tempat luas. Tidak bisa masuk ke kawasan stadion nya  Di sekitaran GBLA ada pasar kaget setiap hari Ahad"
Jiran Pahlevi,5.0,9 bulan lalu,"Stadion yang besar, hanya saja masih butuh renovasi. Karena beberapa tempat, bangunan dan jalan ada yang retak. Mungkin masukan saja, untuk fasilitas public seperti toilet dan air, diperbaiki lagi. Karena fasilitas sangat penting untuk penonton yang hadir. Parkir untuk motor bayar 5k di area stadion dan untuk mobil 10k. Masukan juga untuk area parkir, tolong penerangan untuk area parkir diperbaiki, karena agak susah ketika beres match sekitar jam 9 malam untuk mencari kendaraan dalam keadaan minim penerangan. Pengalaman pribadi sempat cari motor 30menit karena gak keliatan gelap banget parkirannya Last match in season 2024/2025 BRI Liga 1, Persib vs Persis Solo. Sekaligus angkat trophy untuk Persib Bandung pada 24/05/2025 dan menjadi ⭐️⭐️⭐️⭐️ untuk Persib Bandung."
Irhamul Fikri,5.0,11 bulan lalu,"Kemenangan Persib Bandung atas Persebaya Surabaya dengan skor 3-1 benar-benar menjadi tontonan yang luar biasa. Permainan Persib sangat solid dan penuh semangat juang, memperlihatkan kualitas tim yang kompak serta strategi pelatih yang efektif. Dukungan dari bobotoh pun luar biasa, menciptakan atmosfer yang menggema di stadion. Momen paling dramatis adalah di akhir laga, saat flare merah menyala dan menciptakan suasana seperti ""Bandung Lautan Api"", simbol semangat perjuangan dan kebanggaan kota. Kemenangan ini tak hanya penting secara angka, tapi juga emosional bagi para pendukung."
Alwan Fillah,5.0,Diedit setahun lalu,"Stadion kebanggaan warga bandung dan jawa barat. Sudah di renovasi, tetapi untuk beberapa fasilitas masih rusak terutama di toiletnya. Semoga terus dilakukan perbaikan demi kenyamanan pengunjung dan supporter. Mari kita sama sama jaga markas kebanggan kita"
Ahmad Husein,5.0,4 bulan lalu,"Lapangan bersih terawat, area tribun jg selalu dibersihkan, mantap."
